frame,band,survey_count,cached,detected,ratio,accepted,dialog_found,legend_rows,dots_assigned,dots_exported,dropped_out_of_bounds,bird_px,box_px,box_measured,excluded_reason,path
19May18Camera1-Card1-2387,sparse,18.0,True,21,1.1666666666666667,True,True,7,20,20,0,20.0,26.0,True,,subtract
19May18Camera2-Card1-00620,medium,186.0,True,183,0.9838709677419355,True,True,3,139,139,0,21.82,28.0,True,,subtract
24June18Camera1-Card1-10264,medium,156.0,True,744,4.769230769230769,False,False,0,0,0,0,,31.0,False,"frame selection: over-detects 4.77x, precision capped at 0.21",subtract
25June18Camera2-Card1-12410,medium,295.0,True,785,2.6610169491525424,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 2.66x, precision capped at 0.38",subtract
24June18Camera1-Card1-10053,dense,2037.0,True,1064,0.5223367697594502,False,True,0,0,0,0,,31.0,False,"frame selection: under-detects 0.52x, recall capped at 0.52",subtract
19May18Camera2-Card1-02092,dense,1005.0,True,939,0.9343283582089552,True,False,0,0,0,0,,31.0,False,no dialog found,subtract
20May18Camera2-Card1-3824,dense,504.0,True,752,1.492063492063492,True,True,0,0,0,0,,31.0,False,dialog box wrong (excluded by name),subtract
14June21Camera1-Card1-220,sparse,9.0,True,12,1.3333333333333333,True,True,5,8,8,0,36.0,47.0,True,,subtract
15June21Camera2-Card1-03211,sparse,13.0,True,149,11.461538461538462,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 11.46x, precision capped at 0.09",subtract
18June21Camera2-Card2-08466,sparse,49.0,True,185,3.7755102040816326,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 3.78x, precision capped at 0.26",subtract
14June21Camera1-Card1-238,medium,71.0,True,400,5.633802816901408,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 5.63x, precision capped at 0.18",subtract
18June21Camera1-Card2-06389,medium,119.0,True,74,0.6218487394957983,True,True,4,73,73,0,27.0,35.0,True,,subtract
18May21Camera2-Card1-05354,medium,70.0,True,192,2.742857142857143,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 2.74x, precision capped at 0.36",subtract
18June21Camera2-Card3-182,dense,477.0,True,595,1.2473794549266248,True,True,21,569,568,1,24.0,31.0,True,,subtract
20June21Camera2-Card3-3196,dense,786.0,True,1739,2.212468193384224,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 2.21x, precision capped at 0.45",subtract
17June21Camera2-Card2-01076,dense,700.0,True,283,0.4042857142857143,False,True,0,0,0,0,,31.0,False,"frame selection: under-detects 0.40x, recall capped at 0.40",subtract
