frame,labelled,pre_drew,pre_hit,ft_drew,ft_hit
21June15Camera1-Card3-01343,1611,2445,542,2598,1268
18June13Camera1-Card2-0296,1014,1103,200,828,373
28May12Camera2-Card1-0333,499,302,71,352,149
25May13Camera2-Card4-1442,493,948,218,893,316
23May13Camera2-Card1-0730,428,791,76,951,149
